"Status","SanctuarySection","ClassType","CollectionName","Title","FileName","FullPath","SizeGB","LastWriteTime","BunnyVideoId","BunnyStatus","UploadedAt","Notes"
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-06-08 Monday Somatic Vinyasa 17-44-45","2026-06-08 Monday Somatic Vinyasa 17-44-45 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-08 Monday Somatic Vinyasa 17-44-45 (edited).mp4","3.75","2026-06-26 06:03:19","ffb6c597-def3-439d-bc31-4674c52b7520","uploaded_to_bunny_processing","2026-07-01 09:08:56",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-09 Tuesday Restorative 09-38-09","2026-06-09 Tuesday Restorative 09-38-09 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-09 Tuesday Restorative 09-38-09 (edited).mp4","2.21","2026-06-26 02:14:25","490ba9c0-26ec-434f-8520-f41e339ec0bc","uploaded_to_bunny_processing","2026-07-01 09:22:18",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-09 Tuesday Restorative 17-43-19","2026-06-09 Tuesday Restorative 17-43-19 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-09 Tuesday Restorative 17-43-19 (edited).mp4","1.78","2026-06-26 06:11:14","9ed0102b-e93b-4fc9-903e-dace00ffa1c1","uploaded_to_bunny_processing","2026-07-01 09:31:47",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-06-10 Wednesday Somatikatha 09-45-12","2026-06-10 Wednesday Somatikatha 09-45-12 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-10 Wednesday Somatikatha 09-45-12 (edited).mp4","1.46","2026-06-26 06:18:17","ee5871fd-7b33-427e-a762-a4eb661433d9","uploaded_to_bunny_processing","2026-07-01 09:39:00",""
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-06-08 Monday Somatic Vinyasa 17-44-45 (final voice mix)","2026-06-08 Monday Somatic Vinyasa 17-44-45 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-08 Monday Somatic Vinyasa 17-44-45 (edited) (final voice mix).mp4","1.69","2026-07-27","b89e4031-1f94-47f5-a2bc-f2e14a0b1a75","uploaded_to_bunny_processing","2026-07-29 12:55:22",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-09 Tuesday Restorative 09-38-09 (final voice mix)","2026-06-09 Tuesday Restorative 09-38-09 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-09 Tuesday Restorative 09-38-09 (edited) (final voice mix).mp4","0.87","2026-07-27","6d605ef1-3067-40ba-b9fa-85ba9f998c5e","uploaded_to_bunny_processing","2026-07-29 13:01:07",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-09 Tuesday Restorative 17-43-19 (final voice mix)","2026-06-09 Tuesday Restorative 17-43-19 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-09 Tuesday Restorative 17-43-19 (edited) (final voice mix).mp4","0.70","2026-07-27","341947e7-6ba4-4d5b-b848-182adcc31b65","uploaded_to_bunny_processing","2026-07-29 13:06:35",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-06-10 Wednesday Somatikatha 09-45-12 (final voice mix)","2026-06-10 Wednesday Somatikatha 09-45-12 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-10 Wednesday Somatikatha 09-45-12 (edited) (final voice mix).mp4","0.65","2026-07-27","6c9f83c3-0f27-4fb3-90d4-c5228e3c67eb","uploaded_to_bunny_processing","2026-07-29 13:11:22",""
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-06-15 Monday Somatic Vinyasa 17-46-26 (final voice mix)","2026-06-15 Monday Somatic Vinyasa 17-46-26 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-15 Monday Somatic Vinyasa 17-46-26 (edited) (final voice mix).mp4","0.85","2026-07-27","0e7970c7-ef40-4ace-8774-4428dbebcd5d","uploaded_to_bunny_processing","2026-07-29 13:18:42",""
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-06-22 Monday Somatic Vinyasa 17-43-33 (final voice mix)","2026-06-22 Monday Somatic Vinyasa 17-43-33 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-22 Monday Somatic Vinyasa 17-43-33 (edited) (final voice mix).mp4","0.86","2026-07-27","bfa74711-2e94-48b1-955d-f2dcf97ce746","uploaded_to_bunny_processing","2026-07-29 13:24:04",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-16 Tuesday Restorative 09-50-17 (final voice mix)","2026-06-16 Tuesday Restorative 09-50-17 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-16 Tuesday Restorative 09-50-17 (edited) (final voice mix).mp4","0.80","2026-07-27","777dd161-015b-42b5-b2e8-fd15a6d83115","uploaded_to_bunny_processing","2026-07-29 13:29:43",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-16 Tuesday Restorative 17-49-47 (final voice mix)","2026-06-16 Tuesday Restorative 17-49-47 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-16 Tuesday Restorative 17-49-47 (edited) (final voice mix).mp4","1.04","2026-07-27","a2598edf-d20a-48d3-90d7-c17b93dda8b6","uploaded_to_bunny_processing","2026-07-29 13:36:48",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-23 Tuesday Restorative 09-49-54 (final voice mix)","2026-06-23 Tuesday Restorative 09-49-54 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-23 Tuesday Restorative 09-49-54 (edited) (final voice mix).mp4","0.78","2026-07-27","1b82dafd-55ec-4fcc-bab9-443104301666","uploaded_to_bunny_processing","2026-07-29 13:41:56",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-06-23 Tuesday Restorative 17-50-48 (final voice mix)","2026-06-23 Tuesday Restorative 17-50-48 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-23 Tuesday Restorative 17-50-48 (edited) (final voice mix).mp4","0.90","2026-07-27","15525dc2-a303-48c2-bd31-94d089665dcf","uploaded_to_bunny_processing","2026-07-29 13:48:18",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-07-07 Tuesday Restorative 17-53-38 (final voice mix)","2026-07-07 Tuesday Restorative 17-53-38 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-07-07 Tuesday Restorative 17-53-38 (edited) (final voice mix).mp4","0.57","2026-07-27","4eaa216c-3a7b-4716-ab42-69801d4b359b","uploaded_to_bunny_processing","2026-07-29 13:52:08",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-06-17 Wednesday Somatikatha 09-54-41 (final voice mix)","2026-06-17 Wednesday Somatikatha 09-54-41 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-17 Wednesday Somatikatha 09-54-41 (edited) (final voice mix).mp4","0.65","2026-07-27","3a182086-671e-44fc-b5be-2c220b7edbb2","uploaded_to_bunny_processing","2026-07-29 13:56:21",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-06-24 Wednesday Somatikatha 09-39-55 (final voice mix)","2026-06-24 Wednesday Somatikatha 09-39-55 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-06-24 Wednesday Somatikatha 09-39-55 (edited) (final voice mix).mp4","0.62","2026-07-27","041fc8a8-7d36-40fe-a8e2-320dbfd323ee","uploaded_to_bunny_processing","2026-07-29 13:59:24",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-07-01 Wednesday Somatikatha 09-48-58 (final voice mix)","2026-07-01 Wednesday Somatikatha 09-48-58 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-07-01 Wednesday Somatikatha 09-48-58 (edited) (final voice mix).mp4","0.64","2026-07-27","bebb1b16-88ac-4b53-aa17-5a8bd2f2da35","uploaded_to_bunny_processing","2026-07-29 14:03:00",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-07-08 Wednesday Somatikatha 09-51-36 (final voice mix)","2026-07-08 Wednesday Somatikatha 09-51-36 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-07-08 Wednesday Somatikatha 09-51-36 (edited) (final voice mix).mp4","0.60","2026-07-27","b5824274-9bf2-42f0-83da-bee48f3848b7","uploaded_to_bunny_processing","2026-07-29 14:06:33",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-07-15 Wednesday Somatikatha 09-34-50 (final voice mix)","2026-07-15 Wednesday Somatikatha 09-34-50 (edited) (final voice mix).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-07-15 Wednesday Somatikatha 09-34-50 (edited) (final voice mix).mp4","0.55","2026-07-27","0bb2d9db-f053-4ac0-81f3-a1a2a580bf56","uploaded_to_bunny_processing","2026-07-29 14:09:40",""
